description,category
GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M10 Long Hex Bolt. Lengths 110mm to 200mm. Ideal for deep structural and industrial fastening applications. Metric thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.,Bolts
"Unbrako High Tensile Track Shoe Bolts and Square Nuts, Property Class 12.9. Compatible with Caterpillar earthmovers. MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M18 High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9, long lengths 205mm+. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M16 Hex Bolt. Cold forged, metric thread. Higher corrosion resistance than 304, suitable for chloride-rich environments, marine and chemical applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"TVS M8 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"TVS M33 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako Tension Control Structural Bolt M12, System HRC BS EN 14399-10, Property Class 10.9 HRC. Black oxide finish. 9 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"BSW 3/8"" Stainless Steel 202 Grade Hex Bolt. British Standard Whitworth thread. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.",Bolts
"TVS M27 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Metric M16, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 29 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako Tension Control Structural Bolt M16, System HRC BS EN 14399-10, Property Class 10.9 HRC. Black oxide finish. 23 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M18 Hex Bolt. Cold forged, metric thread. Conforms to IS:1364 / DIN 931 / DIN 933. Corrosion resistant, suitable for marine, food, and general industrial applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Metric M18, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 25 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 1 1/2"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 17 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M10 Long Hex Bolt. Lengths 110mm to 200mm. Superior corrosion resistance for marine and chemical environments. Metric thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.,Bolts
"BSW 3/16"" Stainless Steel 202 Grade Hex Bolt. British Standard Whitworth thread. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.",Bolts
M14 Stainless Steel 202 Grade Hex Bolt. Available in lengths from 25mm to 100mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel 3/4"" BSW Hex Bolt. British Standard Whitworth thread. Corrosion resistant stainless steel. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 3/4"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 25 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako IS 3757 High Strength Structural Bolt Metric M20, Property Class 10.9S. BIS certified CM/L-9700156815. 21 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako Tension Control Structural Bolt M24, System HRC BS EN 14399-10, Property Class 10.9 HRC. Black oxide finish. 20 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 5/16"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 22 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS 5/8"" Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw, Inch Series. Specification ANSI B18.2.1/BS1083, Thread Fit ANSI B1.1/BS1083. Grade R/BSW/BSF and Grade 5.2 & 8 for UNC/UNF. Zinc Phosphate finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M20 Long Hex Bolt. Lengths 110mm to 200mm. Ideal for deep structural and industrial fastening applications. Metric thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.,Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel 1/4"" BSW Hex Bolt. British Standard Whitworth thread. Corrosion resistant stainless steel. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"TVS M14 High Tensile Precision Hexagonal Head Bolt & Screw, Grade 8.8 & 10.9, long lengths 205mm+. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako IS 3757 High Strength Structural Bolt Metric M16, Property Class 10.9S. BIS certified CM/L-9700156815. 20 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M20 Hex Bolt. Cold forged, metric thread. Conforms to IS:1364 / DIN 931 / DIN 933. Corrosion resistant, suitable for marine, food, and general industrial applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"TVS M48 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Metric M10, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 26 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
M8 Stainless Steel 202 Grade Hex Bolt. Available in lengths from 16mm to 100mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"Unbrako Hex Head Bolt/Screw Metric M36, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 18 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"Unbrako High Tensile Track Shoe Bolts and Square Nuts, Property Class 12.9. Compatible with BEML Komatsu earthmovers. MRP per 100 pieces, exclusive of GST.",Bolts
"BSW 7/16"" Stainless Steel 202 Grade Hex Bolt. British Standard Whitworth thread. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel 3/8"" BSW Hex Bolt. British Standard Whitworth thread. Superior corrosion resistance for demanding environments. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 2"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 17 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel 5/8"" BSW Hex Bolt. British Standard Whitworth thread. Superior corrosion resistance for demanding environments. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 1"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 24 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M56 Hot Forged High Tensile Precision Hexagonal Head Bolt, Grade 8.8 & 10.9. Specification IS 1364/2002, Thread Fit IS 4218/2001, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M16 Long Hex Bolt. Lengths 110mm to 200mm. Ideal for deep structural and industrial fastening applications. Metric thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.,Bolts
"GMF Brand (Ghanshyam Industries) SS 304 Stainless Steel M4 Hex Bolt. Cold forged, metric thread. Conforms to IS:1364 / DIN 931 / DIN 933. Corrosion resistant, suitable for marine, food, and general industrial applications. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.",Bolts
GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M16 Long Hex Bolt. Lengths 110mm to 200mm. Superior corrosion resistance for marine and chemical environments. Metric thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.,Bolts
M8 Stainless Steel 202 Grade Long Hex Bolt. Available in lengths from 110mm to 150mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"Unbrako Hex Head Bolt/Screw Metric M24, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 27 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
M3 Stainless Steel 202 Grade Hex Bolt. Available in lengths from 10mm to 50mm. Sold per piece. MRP inclusive of 18% GST. 60% off MRP.,Bolts
"Unbrako Hex Head Bolt/Screw Inch UNC 1 3/4"", Grade 8. Conforming to ANSI B 18.2.1, SAE J 429. UNC 2A thread. 17 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"TVS M36 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako Tension Control Structural Bolt M27, System HRC BS EN 14399-10, Property Class 10.9 HRC. Black oxide finish. 19 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
GMF Brand (Ghanshyam Industries) SS 316 Stainless Steel M12 Long Hex Bolt. Lengths 110mm to 200mm. Superior corrosion resistance for marine and chemical environments. Metric thread. Sold per piece. MRP inclusive of 18% GST. 50% off MRP.,Bolts
"TVS M14 Cold Forged High Tensile Precision Hexagonal Head Bolt & Screw. Specification IS 1364/2002, Thread Fit IS 4218/2001, Supply Condition IS 1367/2002, DIN 931/DIN 933 ISO 4014/4017. Zinc Phosphate (Trivalent Chrome Free) finish. Sold per piece. MRP inclusive of 18% GST. 30% off MRP.",Bolts
"Unbrako Hex Head Bolt/Screw Metric M27, Property Class 10.9. Conforming to IS 1364, ISO 4014/4017. ISO Metric 6g thread. 23 length variant(s). MRP per 100 pieces, exclusive of GST.",Bolts
"HSS Stub Series Parallel Shank Twist Drill — 16mm diameter range (16.00 mm to 16.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 4mm diameter range (4.00 mm to 4.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 14mm diameter range (14.00 mm to 14.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
Taparia SDS-plus shank hammer drill bits with flat tip for concrete and masonry.,Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 7mm diameter range (7.00 mm to 7.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 17mm diameter range (17.00 mm to 17.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 18mm diameter range (18.00 mm to 18.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 2mm diameter range (2.00 mm to 2.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 19mm diameter range (19.00 mm to 19.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 6mm diameter range (6.00 mm to 6.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 10mm diameter range (10.00 mm to 10.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 11mm diameter range (11.00 mm to 11.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 6mm diameter range (6.00 mm to 6.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 7mm diameter range (7.00 mm to 7.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 9mm diameter range (9.00 mm to 9.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 15mm diameter range (15.00 mm to 15.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 18mm diameter range (18.00 mm to 18.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 4mm diameter range (4.00 mm to 4.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 8mm diameter range (8.00 mm to 8.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 4mm diameter range (4.00 mm to 4.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 1mm diameter range (1.00 mm to 1.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 3mm diameter range (3.00 mm to 3.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 20mm diameter range (20.00 mm to 20.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 6mm diameter range (6.00 mm to 6.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 13mm diameter range (13.00 mm to 13.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 10mm diameter range (10.00 mm to 10.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 13mm diameter range (13.00 mm to 13.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 1mm diameter range (1.00 mm to 1.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 20mm diameter range (20.00 mm to 20.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 5mm diameter range (5.00 mm to 5.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 9mm diameter range (9.00 mm to 9.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 5mm diameter range (5.00 mm to 5.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"Totem Reduced Shank Drills with 1/2"" shank diameter. Enables larger diameter drilling with standard chucks. Bright finish HSS construction.",Drill Bits
Taparia SDS-plus shank hammer drill bits for heavy-duty concrete and masonry drilling.,Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 19mm diameter range (19.00 mm to 19.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 9mm diameter range (9.00 mm to 9.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"Totem HSS Taper Shank Twist Drills for use in drilling machines with Morse taper spindles. Full ground, 118° point angle. Conforms to IS 5103:2002, DIN 345:1978.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 8mm diameter range (8.00 mm to 8.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 10mm diameter range (10.00 mm to 10.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 5mm diameter range (5.00 mm to 5.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 11mm diameter range (11.00 mm to 11.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 9mm diameter range (9.00 mm to 9.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 13mm diameter range (13.00 mm to 13.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 1mm diameter range (1.00 mm to 1.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 11mm diameter range (11.00 mm to 11.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 4mm diameter range (4.00 mm to 4.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"Taparia masonry drill bits for concrete, brick, and stone drilling. Carbide-tipped for long life.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 8mm diameter range (8.00 mm to 8.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 16mm diameter range (16.00 mm to 16.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 7mm diameter range (7.00 mm to 7.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 12mm diameter range (12.00 mm to 12.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 3mm diameter range (3.00 mm to 3.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 3mm diameter range (3.00 mm to 3.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 2mm diameter range (2.00 mm to 2.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 15mm diameter range (15.00 mm to 15.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 3mm diameter range (3.00 mm to 3.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 12mm diameter range (12.00 mm to 12.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 14mm diameter range (14.00 mm to 14.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
Taparia SDS-plus shank hammer drill bits with cross tip for concrete and masonry.,Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 11mm diameter range (11.00 mm to 11.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 2mm diameter range (2.00 mm to 2.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 12mm diameter range (12.00 mm to 12.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 13mm diameter range (13.00 mm to 13.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 10mm diameter range (10.00 mm to 10.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 12mm diameter range (12.00 mm to 12.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 7mm diameter range (7.00 mm to 7.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Long Series Parallel Shank Twist Drill — 1mm diameter range (1.00 mm to 1.99 mm). Extended flute for deep hole drilling. Totem M2 HSS, 118° point angle. IS 5102:2002, DIN 340:1978.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 17mm diameter range (17.00 mm to 17.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS Stub Series Parallel Shank Twist Drill — 5mm diameter range (5.00 mm to 5.99 mm). Shorter overall length for greater rigidity. Totem M2 HSS, 118° point angle. IS 5100:2000, DIN 1897:1984.",Drill Bits
"HSS M35 Black & Gold Parallel Shank Twist Drill — 8mm diameter range (8.00 mm to 8.99 mm). 5% Cobalt HSS, black & gold treatment, 135° split point. Ideal for stainless & alloy steel. IS 5101:2002, DIN 338:1984.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 2mm diameter range (2.00 mm to 2.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
"HSS Jobber Series Parallel Shank Twist Drill — 6mm diameter range (6.00 mm to 6.99 mm). Totem M2 HSS, full ground bright finish, 118° point angle. IS 5101:2002, DIN 338:1984, ISO 235:1980.",Drill Bits
Taparia Aluminium Bronze non-sparking driver extension for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking adjustable wrench for use in hazardous and explosive environments. Confirming to IS 4595-1969.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking ball pein hammer with handle for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking 1/2 speed handle for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Non-Sparking Pipe Wrench Beryllium Copper (BE-CU). Safe for use in hazardous/explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking sliding T handle for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking square files for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking combination spanners for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Beryllium Copper non-sparking ring spanner set for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking double ended open jaw spanners (Whitworth) for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking slugging ring spanners for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking ring spanner set for use in hazardous and explosive environments.,Non-Sparking Tools
Taparia Aluminium Bronze non-sparking 12.7mm (1/2) square drive socket set 28 pieces for use in hazardous environments.,Non-Sparking Tools
